"Generation","Sugar"
"Teenager",115.893111572058
"Teenager",82.9413401627004
"Teenager",93.3929344469864
"Teenager",102.956831215343
"Teenager",96.3316528290131
"Teenager",74.5331884511707
"Teenager",86.9711263507709
"Teenager",100.691230406145
"Teenager",99.7690854143988
"Teenager",116.585010692828
"Teenager",94.7876296615977
"Teenager",93.7606755437919
"Teenager",64.946802381685
"Teenager",100.673240205348
"Teenager",77.5605494124229
"Teenager",90.8566924629572
"Teenager",117.288485036276
"Teenager",107.200682824823
"Teenager",124.305010270957
"Teenager",95.3461746396406
"Teenager",96.5006027620355
"Teenager",110.004961249171
"Teenager",95.0429178836882
"Teenager",103.153161696037
"Teenager",108.112176679605
"Teenager",106.279016295712
"Teenager",86.1436475655645
"Teenager",142.21898321845
"Teenager",151.702785784465
"Teenager",95.6286632288324
"Teenager",110.640188959265
"Teenager",104.332989567899
"Teenager",135.386603822731
"Teenager",38.6850059888917
"Teenager",141.196448263879
"Teenager",95.7930238926058
"Teenager",22.8690242453838
"Teenager",94.0446659304462
"Teenager",86.5534815420645
"Teenager",87.5020934155474
"Teenager",92.2620043712062
"Teenager",76.3464838184091
"Teenager",69.9388952491235
"Teenager",63.9249764243462
"Teenager",133.461831386988
"Teenager",102.112879622295
"Teenager",130.068578269416
"Teenager",100.306437563558
"Teenager",65.9233367410473
"Teenager",106.633198913174
"Teenager",63.4319417003301
"Teenager",89.6383831355035
"Teenager",147.097347837185
"Teenager",82.5739490729152
"Teenager",128.602840744934
"Teenager",174.682229421579
"Teenager",44.0805885023832
"Teenager",131.249207032978
"Teenager",101.130766687333
"Teenager",124.985220571919
"Teenager",175.373753423211
"Teenager",50.8471426361029
"Teenager",115.546972702332
"Teenager",66.4572755784652
"Teenager",60.1118298906135
"Teenager",148.413896348803
"Teenager",57.1549416810531
"Teenager",159.155181569693
"Teenager",114.458116016527
"Teenager",90.6490414767422
"Teenager",105.596843803984
"Teenager",92.4068939329362
"Teenager",83.1517702942574
"Teenager",101.032990305261
"Teenager",112.050442121144
"Teenager",138.844508444618
"Teenager",73.3964795197825
"Teenager",113.941930637578
"Teenager",50.0950201118367
"Teenager",113.56328049519
"Teenager",154.098028930183
"Teenager",129.90410107032
"Teenager",99.5218341593544
"Teenager",169.792263257024
"Teenager",110.115049141542
"Teenager",136.299539549059
"Teenager",44.7905920507264
"Teenager",82.7465600156975
"Teenager",87.3083556732895
"Teenager",121.504536312839
"Teenager",97.43610859275
"Teenager",59.7645831895753
"Teenager",88.8766310908483
"Teenager",130.079000721817
"Teenager",85.6020095336994
"Teenager",122.526242723554
"Teenager",114.636681120596
"Teenager",83.738406516486
"Teenager",82.4782563341546
"Teenager",134.446005525036
"Adult",103.868790451609
"Adult",89.3857521097108
"Adult",39.8441323509568
"Adult",57.0099993040995
"Adult",115.704947240382
"Adult",54.246005594216
"Adult",83.5097021035175
"Adult",43.3899787517438
"Adult",61.8879821044261
"Adult",66.9532385099939
"Adult",106.413047810893
"Adult",70.8549857336521
"Adult",100.18522510441
"Adult",73.0581708986244
"Adult",41.3471412731591
"Adult",104.751170693131
"Adult",81.4901154587098
"Adult",111.811937621945
"Adult",26.2216266276974
"Adult",137.785214545262
"Adult",84.1047068687341
"Adult",96.691819595271
"Adult",150.901448008302
"Adult",79.014448716298
"Adult",85.2227741523531
"Adult",119.214072077258
"Adult",138.966913612484
"Adult",61.9176875706013
"Adult",108.64221760443
"Adult",72.994902965056
"Adult",96.2815967054438
"Adult",69.9530765032463
"Adult",85.4756093263936
"Adult",65.6633462603257
"Adult",84.6441407540709
"Adult",125.287792724926
"Adult",138.5546902568
"Adult",68.3938181681209
"Adult",91.2755816368121
"Adult",74.3469945231528
"Adult",137.232755475016
"Adult",111.431531907425
"Adult",110.780818727159
"Adult",107.323896353136
"Adult",87.9798269967792
"Adult",75.1050756006333
"Adult",44.9197628623856
"Adult",126.534569381582
"Adult",71.1958340327398
"Adult",106.114189503273
"Adult",109.35906994752
"Adult",67.8330054226118
"Adult",47.1774463411213
"Adult",66.9069975485495
"Adult",109.540789545378
"Adult",56.9473261600288
"Adult",92.5345401007455
"Adult",90.8806346801517
"Adult",22.8671140551563
"Adult",73.8158834954996
"Adult",84.9196113856536
"Adult",54.3491427395982
"Adult",101.260614940783
"Adult",131.104847946803
"Adult",41.006396616567
"Adult",66.3054488655235
"Adult",72.0062999452494
"Adult",86.6778715071907
"Adult",151.714018614216
"Adult",45.3244507968195
"Adult",61.8914789068654
"Adult",53.5696525184907
"Adult",48.9525242402859
"Adult",122.975228673854
"Adult",88.3431947479088
"Adult",129.160840907432
"Adult",105.772791439627
"Adult",74.016325686193
"Adult",73.3423271208972
"Adult",78.5980011125953
"Adult",109.261475377173
"Adult",78.8116332083769
"Adult",86.9784897064115
"Adult",123.19030985765
"Adult",89.6033577109185
"Adult",125.432947690911
"Adult",119.712486831588
"Adult",51.3970015853311
"Adult",77.5329912997946
"Adult",84.8854346334652
"Adult",37.637029553724
"Adult",85.2426268410485
"Adult",74.8218239907472
"Adult",121.346331736416
"Adult",85.4181359743916
"Adult",79.8861980922676
"Adult",106.933190169248
"Adult",90.1346350213652
"Adult",80.823717069284
"Adult",119.40153185207
